"field_name","data_type","unit_or_format","required","source","description","allowed_missing","claim_boundary"
"schema_version","string","semantic_version","yes","pipeline","Record schema version","no","Must match the frozen run manifest"
"run_id","string","PILOT-YYYYMMDD-SX-NNNN","yes","operator","Unique execution identifier","no","One physical or controlled execution"
"entity_id","string","opaque_id","yes","operator","Highest-level grouping key for splitting and inference","no","All derivatives stay in one split"
"session_id","string","opaque_id","yes","operator","Continuous acquisition session","no","Do not treat windows as independent sessions"
"mother_stream_id","string","opaque_id","conditional","pipeline","Immutable high-reliability source stream used for replay","yes for non-replay","Required for C2 counterfactual replay claims"
"scenario_id","enum","S0|S1|S2|S3|H3A","yes","protocol","Controlled scenario identifier","no","Proxy scenario names must be preserved"
"event_type","string","event_dictionary_key","yes","label_protocol","Operational event definition","no","Cannot be inferred by the evaluated model"
"event_id","string","opaque_id","conditional","label_protocol","Unique event within a run","yes for normal","Required for event-level metrics"
"event_time_start_reference_ns","int64","nanoseconds","conditional","reference_clock","Reference event start time","yes for normal","Required for event timing claims"
"event_time_end_reference_ns","int64","nanoseconds","conditional","reference_clock","Reference event end time","yes for normal","Required for event timing claims"
"sample_time_device_ns","int64","nanoseconds_monotonic","yes per sample","acquisition_device","Time at which the sample was acquired","no","Must retain native device clock"
"sample_time_aligned_ns","int64","nanoseconds_reference_basis","conditional","clock_alignment","Sample time mapped to reference basis","yes before alignment","Requires documented mapping and residual"
"arrival_time_edge_ns","int64","nanoseconds_monotonic","conditional","receiver","Time payload or chunk became available at decision endpoint","yes when never_arrived","Cannot be replaced by file modification time"
"arrival_time_aligned_ns","int64","nanoseconds_reference_basis","conditional","clock_alignment","Arrival time mapped to reference basis","yes before alignment","Required for cross-clock delay analysis"
"ingest_time_analysis_utc","datetime","ISO-8601 UTC","yes","analysis_pipeline","Time record entered analysis storage","no","Not one of the three scientific clocks"
"clock_alignment_method","string","method_and_version","yes","run_manifest","How device and receiver clocks map to reference","no","Required for three-clock claim"
"sync_residual_ms","float","milliseconds","conditional","clock_alignment","Residual error after clock alignment","yes before alignment","Must be compared with preregistered tolerance"
"modality","enum","imu|state|light|image|temperature|humidity|video|other","yes","acquisition_device","Evidence modality","no","Actual device modality only"
"sample_seq_no","int64","nonnegative_integer","yes per stream","acquisition_device","Monotonic stream sequence number","no","Used to distinguish not sampled and not delivered"
"sampling_policy_id","string","policy_key","yes","controller","Policy active when sample decision was made","no","Needed for informative sampling analysis"
"sampling_command_time_ns","int64","nanoseconds","conditional","controller","Time of sampling command","yes if passive stream","Anchor for action support"
"sampling_indicator","boolean","0|1","yes per candidate slot","controller_or_reconstruction","Whether a candidate sample was acquired","no","Must not be reconstructed using outcome labels"
"arrival_indicator_by_deadline","boolean","0|1","yes per deadline","analysis_pipeline","Whether evidence arrived by frozen decision deadline","no","Deadline must be preregistered"
"quality_score","float","documented_scale","conditional","device_or_quality_model","Evidence quality available at decision time","yes if unsupported","Quality model version must be recorded"
"device_health_state","string","documented_enum","conditional","device","Battery sensor storage or fault anchor","yes if unsupported","No fabricated health values"
"network_profile_id","string","W*|T-*|F-*","yes for replay","network_controller","Applied network condition","yes for mother capture","W means designed stress only"
"network_seed","int64","integer","yes for stochastic replay","network_controller","Random seed for impairment","yes for deterministic reference","Required for paired replay"
"configured_rate_kbit_s","float","kbit/s","conditional","network_config","Configured link rate","yes for W0","Configured value is not achieved goodput"
"configured_delay_ms","float","milliseconds","conditional","network_config","Configured base delay","yes for W0","Configured value is not measured RTT"
"configured_loss_percent","float","percent","conditional","network_config","Configured packet loss probability","yes for W0","Configured value is not field loss"
"achieved_goodput_kbit_s","float","kbit/s","conditional","measurement_log","Observed application goodput","yes before measurement","Report separately from configured rate"
"observed_rtt_ms","float","milliseconds","conditional","measurement_log","Observed round trip time","yes if not measured","Measurement tool and interval required"
"buffer_bytes_before","int64","bytes","conditional","edge_controller","Queued bytes before action","yes if unavailable","Required for resource-state claims"
"buffer_bytes_after","int64","bytes","conditional","edge_controller","Queued bytes after action","yes if unavailable","Required for overflow analysis"
"action_id","string","opaque_id","conditional","edge_controller","Candidate or selected resource action","yes for passive capture","Required for C2 action comparison"
"action_propensity","float","0_to_1","conditional","behavior_policy","Probability of logged action under behavior policy","yes for deterministic replay","Required for observational off-policy claims"
"deadline_s","float","seconds","conditional","protocol","Frozen decision deadline","yes for pure capture","Cannot be chosen from locked evaluation"
"chunk_id","string","opaque_id","conditional","transport","Payload chunk identifier","yes if unchunked","Needed for resume and integrity checks"
"payload_bytes","int64","bytes","yes per payload","transport","Payload size","no","After-encoding size must be distinguished from raw size"
"payload_path","string","relative_path","yes per payload","storage","Path inside evidence package","no","Must resolve within package or documented external archive"
"payload_sha256","string","64_hex_chars","yes per payload","integrity_tool","SHA-256 of exact payload","no","Hash recomputation must pass"
"decode_ok","boolean","0|1","conditional","receiver","Payload decodes and passes validation","yes if never_arrived","Required for complete-delivery claims"
"retry_count","int64","nonnegative_integer","conditional","transport","Number of retries for payload or chunk","yes if unsupported","Must come from protocol log"
"resume_state_id","string","opaque_id","conditional","transport","Idempotent resume state","yes if no outage","Required for resume claims"
"resource_timestamp_ns","int64","nanoseconds_monotonic","conditional","resource_monitor","Time of resource measurement","yes if unavailable","Resource values need their own clock"
"cpu_percent","float","percent","conditional","resource_monitor","CPU utilization","yes if unavailable","Measurement interval required"
"memory_mb","float","megabytes","conditional","resource_monitor","Memory usage","yes if unavailable","Measurement method required"
"energy_value","float","joule_or_estimator_unit","conditional","power_monitor_or_estimator","Energy consumed or proxy value","yes if unavailable","Must be paired with energy_source"
"energy_unit","string","SI_unit_or_named_proxy","conditional","run_manifest","Unit for measured energy or estimated proxy","yes if not_available","Required whenever energy_value is present"
"energy_source","enum","measured|estimated|not_available","yes","run_manifest","Origin of energy value","no","Only measured supports physical energy claim"
"label_source","string","reference_video|trigger|independent_logger|operator_log|other","yes","label_protocol","Independent source of event label","no","Evaluated model output is forbidden"
"label_confidence","enum","high|medium|low|disputed","yes","label_review","Confidence after label review","no","Disputed labels analyzed separately"
"dataset_split","enum","development|calibration|locked_evaluation","yes","split_registry","Entity-level dataset assignment","no","Locked evaluation opens once"
"record_status","enum","captured|verified|rejected","yes","evidence_review","Record evidence status","no","Only verified records enter primary analysis"
